#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10
#   TIMESTEP                     TIME                  Mass H0                  Mass H1                  Mass N0                  Mass N1                  Mass N2                  Mass N3                  Mass N4                  Mass N5
         102   4.5670426665214843e-09   1.1395684066553802e-42   2.7800453241616263e-46   1.1398464111877970e-72   1.1398464111877970e-72   1.1398464111877970e-72   1.1398464111877970e-72   1.1398464111877970e-72   1.1398464111877970e-72
         103   4.6720193193224204e-09   1.1395684066553893e-42   2.7800453241616971e-46   1.1398464111877975e-72   1.1398464111877975e-72   1.1398464111877975e-72   1.1398464111877975e-72   1.1398464111877975e-72   1.1398464111877975e-72
         104   4.7774804770430535e-09   1.1395684066553863e-42   2.7800453241616554e-46   1.1398464111877985e-72   1.1398464111877985e-72   1.1398464111877985e-72   1.1398464111877985e-72   1.1398464111877985e-72   1.1398464111877985e-72
         105   4.8834168142294590e-09   1.1395684066553829e-42   2.7800453241619394e-46   1.1398464111877904e-72   1.1398464111877904e-72   1.1398464111877904e-72   1.1398464111877904e-72   1.1398464111877904e-72   1.1398464111877904e-72
         106   4.9898197049773277e-09   1.1395684066553833e-42   2.7800453241616901e-46   1.1398464111877940e-72   1.1398464111877940e-72   1.1398464111877940e-72   1.1398464111877940e-72   1.1398464111877940e-72   1.1398464111877940e-72
         107   5.0966816135994667e-09   1.1395684066553823e-42   2.7800453241618347e-46   1.1398464111878045e-72   1.1398464111878045e-72   1.1398464111878045e-72   1.1398464111878045e-72   1.1398464111878045e-72   1.1398464111878045e-72
         108   5.2039970964366496e-09   1.1395684066553871e-42   2.7800453241618414e-46   1.1398464111878030e-72   1.1398464111878030e-72   1.1398464111878030e-72   1.1398464111878030e-72   1.1398464111878030e-72   1.1398464111878030e-72
         109   5.3117614946721983e-09   1.1395684066553872e-42   2.7800453241617667e-46   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72
         110   5.4199705315853677e-09   1.1395684066553890e-42   2.7800453241615166e-46   1.1398464111878163e-72   1.1398464111878163e-72   1.1398464111878163e-72   1.1398464111878163e-72   1.1398464111878163e-72   1.1398464111878163e-72
         111   5.5286194025695841e-09   1.1395684066553874e-42   2.7800453241616111e-46   1.1398464111877927e-72   1.1398464111877927e-72   1.1398464111877927e-72   1.1398464111877927e-72   1.1398464111877927e-72   1.1398464111877927e-72
         112   5.6377010166127286e-09   1.1395684066553880e-42   2.7800453241615108e-46   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72
         113   5.7472070205243775e-09   1.1395684066553708e-42   2.7800453241618978e-46   1.1398464111877985e-72   1.1398464111877985e-72   1.1398464111877985e-72   1.1398464111877985e-72   1.1398464111877985e-72   1.1398464111877985e-72
         114   5.8571303550379693e-09   1.1395684066553759e-42   2.7800453241616982e-46   1.1398464111877967e-72   1.1398464111877967e-72   1.1398464111877967e-72   1.1398464111877967e-72   1.1398464111877967e-72   1.1398464111877967e-72
         115   5.9674657021324461e-09   1.1395684066553758e-42   2.7800453241617624e-46   1.1398464111877947e-72   1.1398464111877947e-72   1.1398464111877947e-72   1.1398464111877947e-72   1.1398464111877947e-72   1.1398464111877947e-72
         116   6.0782090586184911e-09   1.1395684066553809e-42   2.7800453241616072e-46   1.1398464111877967e-72   1.1398464111877967e-72   1.1398464111877967e-72   1.1398464111877967e-72   1.1398464111877967e-72   1.1398464111877967e-72
         117   6.1893569700574528e-09   1.1395684066553801e-42   2.7800453241616169e-46   1.1398464111878022e-72   1.1398464111878022e-72   1.1398464111878022e-72   1.1398464111878022e-72   1.1398464111878022e-72   1.1398464111878022e-72
         118   6.3009062269711937e-09   1.1395684066553793e-42   2.7800453241616403e-46   1.1398464111878070e-72   1.1398464111878070e-72   1.1398464111878070e-72   1.1398464111878070e-72   1.1398464111878070e-72   1.1398464111878070e-72
